LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
225;Hj. SADARESTUWATI, S.P., M.M.A.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR VIII;P;
226;BANYU BIRU DJAROT;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR VIII;L;
227;H. ABIDIN FIKRI, S.H., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR IX;L;
228;H. NASYIRUL FALAH AMRU, S.E.M.A.P;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR X;L;
229;NILA YANI HARDIYANTI, S.I.Kom.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR X;P;
230;M. H. SAID ABDULLAH;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR XI;L;
231;ANSARI, S.Pd.I;Fraksi Partai Demokrasi Indonesia Perjuangan;JAWA TIMUR XI;P;
232;BONNIE TRIYANA, S.S.;Fraksi Partai Demokrasi Indonesia Perjuangan;BANTEN I;L;
233;SARIFAH AINUN JARIYAH, S.I.P.;Fraksi Partai Demokrasi Indonesia Perjuangan;BANTEN II;P;
234;YULIUS SETIARTO, S.H., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;BANTEN III;L;
235;MARINUS GEA, S.E., M.Ak.;Fraksi Partai Demokrasi Indonesia Perjuangan;BANTEN III;L;
236;I NYOMAN PARTA, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;BALI;L;
237;I G N KESUMA KELAKAN, S.T., M.Si.;Fraksi Partai Demokrasi Indonesia Perjuangan;BALI;L;
238;Dr. I WAYAN SUDIRTA, S.H., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;BALI;L;
239;I N. ADI WIRYATAMA, S.Sos., M.SI;Fraksi Partai Demokrasi Indonesia Perjuangan;BALI;L;
240;I KETUT KARIYASA ADNYANA, S.P.;Fraksi Partai Demokrasi Indonesia Perjuangan;BALI;L;
241;H. RACHMAT HIDAYAT, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;NUSA TENGGARA BARAT II;L;
242;Dr. ANDREAS HUGO PAREIRA;Fraksi Partai Demokrasi Indonesia Perjuangan;NUSA TENGGARA TIMUR I;L;
243;STEVANO RIZKI ADRANACUS;Fraksi Partai Demokrasi Indonesia Perjuangan;NUSA TENGGARA TIMUR II;L;
244;Drs. CORNELIS, M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;KALIMANTAN BARAT I;L;
245;MARIA LESTARI, S.Pd., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;KALIMANTAN BARAT I;P;
246;LASARUS, S.SOS., M.Si.;Fraksi Partai Demokrasi Indonesia Perjuangan;KALIMANTAN BARAT II;L;
247;PAOLUS HADI, S.IP., M.Si.;Fraksi Partai Demokrasi Indonesia Perjuangan;KALIMANTAN BARAT II;L;
248;SIGIT KARYAWAN YUNIANTO, S.H., M.A.P.;Fraksi Partai Demokrasi Indonesia Perjuangan;KALIMANTAN TENGAH;L;
249;Irjen. Pol. (Purn) Drs. H. SAFARUDDIN, M.I.Kom.;Fraksi Partai Demokrasi Indonesia Perjuangan;KALIMANTAN TIMUR;L;
250;Ir. DEDDY YEVRI HANTERU SITORUS, M.A.;Fraksi Partai Demokrasi Indonesia Perjuangan;KALIMANTAN UTARA;L;
251;RIO A. J. DONDOKAMBEY, B.Sc.;Fraksi Partai Demokrasi Indonesia Perjuangan;SULAWESI UTARA;L;
252;Dra. Hj. YASTI SOEPREDJO MOKOAGOW;Fraksi Partai Demokrasi Indonesia Perjuangan;SULAWESI UTARA;P;
253;MATINDAS JANUSANTI RUMAMBI, S.Sos.;Fraksi Partai Demokrasi Indonesia Perjuangan;SULAWESI TENGAH;L;
254;RIDWAN ANDI WITTIRI, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;SULAWESI SELATAN I;L;
255;H. AHMAD SAFEI, S.H., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;SULAWESI TENGGARA;L;
256;Dr. Ir. H. AGUS AMBO DJIWA, M.P.;Fraksi Partai Demokrasi Indonesia Perjuangan;SULAWESI BARAT;L;
257;MERCY CHRIESTY BARENDS, S.T.;Fraksi Partai Demokrasi Indonesia Perjuangan;MALUKU;P;
258;IRINE YUSIANA ROBA PUTRI, S.Sos, M.Comn&MediaSt.;Fraksi Partai Demokrasi Indonesia Perjuangan;MALUKU UTARA;P;
259;RUTH NAOMI RUMKABU;Fraksi Partai Demokrasi Indonesia Perjuangan;PAPUA;P;
260;OBET RUMBRUREN;Fraksi Partai Demokrasi Indonesia Perjuangan;PAPUA BARAT;L;
261;EDOARDUS KAIZE, S.S.;Fraksi Partai Demokrasi Indonesia Perjuangan;PAPUA SELATAN;L;
262;KAMARUDIN WATUBUN, S.H., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;PAPUA TENGAH;L;
263;ARIF RIYANTO UOPDANA, S.T.;Fraksi Partai Demokrasi Indonesia Perjuangan;PAPUA;L;
264;Drs. H. T. ZULKARNAINI AMPON BANG;Fraksi Partai Golongan Karya;ACEH I;L;
265;H. ILHAM PANGESTU;Fraksi Partai Golongan Karya;ACEH II;L;
266;SAMSUL BAHRI TIYONG;Fraksi Partai Golongan Karya;ACEH II;L;
267;Dr. H. MUSA RAJEKSHAH, M.Hum.;Fraksi Partai Golongan Karya;SUMATERA UTARA I;L;
268;Dr. MARULI SIAHAAN, S.H.,M.H.;Fraksi Partai Golongan Karya;SUMATERA UTARA I;L;
269;LAMHOT SINAGA;Fraksi Partai Golongan Karya;SUMATERA UTARA II;L;
270;ANDAR AMIN HARAHAP, S.STP., M.Si.;Fraksi Partai Golongan Karya;SUMATERA UTARA II;L;
271;TRINOVI KHAIRANI, B.A.;Fraksi Partai Golongan Karya;SUMATERA UTARA II;P;
272;Dr. H. AHMAD DOLI KURNIA TANDJUNG, S.Si., M.T.;Fraksi Partai Golongan Karya;SUMATERA UTARA III;L;
273;DELIA PRATIWI BR. SITEPU, S.H.;Fraksi Partai Golongan Karya;SUMATERA UTARA III;P;
274;MANGIHUT SINAGA, S.H., M.H.;Fraksi Partai Golongan Karya;SUMATERA UTARA III;L;
275;ZIGO ROLANDA, S.E., M.M.;Fraksi Partai Golongan Karya;SUMATERA BARAT I;L;
276;H. BENNY UTAMA, S.H., M.M.;Fraksi Partai Golongan Karya;SUMATERA BARAT II;L;
277;dr. MAHARANI;Fraksi Partai Golongan Karya;RIAU I;P;
278;Dr. Hj. KARMILA SARI, S.Kom., M.M.;Fraksi Partai Golongan Karya;RIAU I;P;
279;H. YULISMAN, S.Si., M.M.;Fraksi Partai Golongan Karya;RIAU II;L;
280;Drs. H. CEK ENDRA;Fraksi Partai Golongan Karya;JAMBI;L;
281;H. HASAN BASRI AGUS;Fraksi Partai Golongan Karya;JAMBI;L;
282;Drs. H. KAHAR MUZAKIR;Fraksi Partai Golongan Karya;SUMATERA SELATAN I;L;
283;YUDHA NOVANZA UTAMA;Fraksi Partai Golongan Karya;SUMATERA SELATAN I;L;
284;DEWI YUSTISIANA, S.H., M.Kn.;Fraksi Partai Golongan Karya;SUMATERA SELATAN II;P;
285;Hj. DERTA ROHIDIN;Fraksi Partai Golongan Karya;BENGKULU;P;
286;H. RYCKO MENOZA SZP, M.B.A.;Fraksi Partai Golongan Karya;LAMPUNG I;L;
287;Ir. HANAN A. ROZAK, M.S.;Fraksi Partai Golongan Karya;LAMPUNG II;L;
288;H. APROZI ALAM, S.E.;Fraksi Partai Golongan Karya;LAMPUNG II;L;
289;BAMBANG PATIJAYA, S.E., M.M.;Fraksi Partai Golongan Karya;KEPULAUAN BANGKA BELITUNG;L;
290;RIZKI FAISAL;Fraksi Partai Golongan Karya;KEPULAUAN RIAU;L;
291;ABRAHAM SRIDJAJA, S.H., M.H., C.L.A.;Fraksi Partai Golongan Karya;DKI JAKARTA II;L;
292;ERWIN AKSA;Fraksi Partai Golongan Karya;DKI JAKARTA III;L;
293;Dr. ATALIA PRARATYA, S.I.P., M.I.Kom.;Fraksi Partai Golongan Karya;JAWA BARAT I;P;
294;NURUL ARIFIN, M.Si.;Fraksi Partai Golongan Karya;JAWA BARAT I;P;
295;Ir. H. ANANG SUSANTO SUHENDAR, M.Si.;Fraksi Partai Golongan Karya;JAWA BARAT II;L;
296;Dr. H. DADANG M. NASER, S.H., M.I.Pol.;Fraksi Partai Golongan Karya;JAWA BARAT II;L;
297;ISFHAN TAUFIK MUNGGARAN;Fraksi Partai Golongan Karya;JAWA BARAT III;L;
298;H. ILHAM PERMANA, S.E., M.M.;Fraksi Partai Golongan Karya;JAWA BARAT III;L;
299;Hj. DEWI ASMARA, S.H., M.H.;Fraksi Partai Golongan Karya;JAWA BARAT IV;P;
300;RAVINDRA AIRLANGGA, B.A., M.S.;Fraksi Partai Golongan Karya;JAWA BARAT V;L;
301;RANNY FAHD A RAFIQ;Fraksi Partai Golongan Karya;JAWA BARAT VI;P;
302;PUTERI ANETTA KOMARUDIN;Fraksi Partai Golongan Karya;JAWA BARAT VII;P;
303;H. DANIEL MUTAQIEN SYAFIUDDIN, S.T.;Fraksi Partai Golongan Karya;JAWA BARAT VIII;L;
304;Dr. DAVE AKBARSHAH FIKARNO, M.E.;Fraksi Partai Golongan Karya;JAWA BARAT VIII;L;
305;ELITA BUDIATI, S.K.M., M.Si.;Fraksi Partai Golongan Karya;JAWA BARAT IX;P;
306;GALIH DIMUNTUR KARTASASMITA;Fraksi Partai Golongan Karya;JAWA BARAT IX;L;
307;Dr.Tr. AGUN GUNANDJAR S, Bc.I.P., M.Si.;Fraksi Partai Golongan Karya;JAWA BARAT X;L;
308;ADE GINANJAR, S.Sos.;Fraksi Partai Golongan Karya;JAWA BARAT XI;L;
309;FERDIANSYAH, S.E., M.M.;Fraksi Partai Golongan Karya;JAWA BARAT XI;L;
310;FIRNANDO H GANINDUTO, B.B.A.;Fraksi Partai Golongan Karya;JAWA TENGAH I;L;
311;ANDHIKA SATYA WASISTHO S.M.;Fraksi Partai Golongan Karya;JAWA TENGAH II;L;
312;JAMALUDIN MALIK, S.H., M.H.;Fraksi Partai Golongan Karya;JAWA TENGAH II;L;
313;FIRMAN SOEBAGYO, S.E., M.H.;Fraksi Partai Golongan Karya;JAWA TENGAH III;L;
314;Drs. JULIYATMONO, M.M., M.H.;Fraksi Partai Golongan Karya;JAWA TENGAH IV;L;
315;H. SINGGIH JANURATMOKO, S.K.H., M.M.;Fraksi Partai Golongan Karya;JAWA TENGAH V;L;
316;Ir. PANGGAH SUSANTO, M.M.;Fraksi Partai Golongan Karya;JAWA TENGAH VI;L;
317;Dr. H. BAMBANG SOESATYO, S.E.;Fraksi Partai Golongan Karya;JAWA TENGAH VII;L;
318;TETI ROHATININGSIH, S.Sos.;Fraksi Partai Golongan Karya;JAWA TENGAH VIII;P;
319;AGUNG WIDYANTORO, S.H., M.Si.;Fraksi Partai Golongan Karya;JAWA TENGAH IX;L;
320;ASHRAFF ABU;Fraksi Partai Golongan Karya;JAWA TENGAH X;L;
321;DONI AKBAR, S.E., M.M.;Fraksi Partai Golongan Karya;JAWA TENGAH X;L;
322;Drs. H.M. GANDUNG PARDIMAN, M.M.;Fraksi Partai Golongan Karya;DAERAH ISTIMEWA YOGYAKARTA;L;
323;Dr. Ir. H. ADIES KADIR, S.H., M.Hum.;Fraksi Partai Golongan Karya;JAWA TIMUR I;L;
324;Dr. H. MUKHAMAD MISBAKHUN, S.E., M.H.;Fraksi Partai Golongan Karya;JAWA TIMUR II;L;
325;ZULFIKAR ARSE SADIKIN, S.I.P., M.Si.;Fraksi Partai Golongan Karya;JAWA TIMUR III;L;
326;H. MUHAMAD NUR PURNAMASIDI, S.Sos.M.Si.;Fraksi Partai Golongan Karya;JAWA TIMUR IV;L;
327;AHMAD IRAWAN, S.H., M.H.;Fraksi Partai Golongan Karya;JAWA TIMUR V;L;
328;M. SARMUJI, S.E., M.Si.;Fraksi Partai Golongan Karya;JAWA TIMUR VI;L;
329;Dr. Ir. HERU TJAHJONO, M.M.;Fraksi Partai Golongan Karya;JAWA TIMUR VI;L;
330;Dr. H. ALI MUFTHI, S.Ag., M.Si.;Fraksi Partai Golongan Karya;JAWA TIMUR VII;L;
331;M. YAHYA ZAINI, S.H.;Fraksi Partai Golongan Karya;JAWA TIMUR VIII;L;
332;Dra. Hj. HAENY RELAWATI RINI WIDYASTUTI, M.Si.;Fraksi Partai Golongan Karya;JAWA TIMUR IX;P;
333;EKO WAHYUDI;Fraksi Partai Golongan Karya;JAWA TIMUR IX;L;
334;AHMAD LABIB, S.H.I., M.H.;Fraksi Partai Golongan Karya;JAWA TIMUR X;L;
335;Dr. ERIC HERMAWAN, M.T., M.M.;Fraksi Partai Golongan Karya;JAWA TIMUR XI;L;
336;Dr. Hj. ADDE ROSI KHOERUNNISA, S.Sos., M.Si.;Fraksi Partai Golongan Karya;BANTEN I;P;
337;H. TUBAGUS HAERUL JAMAN, S.E.;Fraksi Partai Golongan Karya;BANTEN II;L;
338;Drs. H. MUJAKKIR ZUHRI;Fraksi Partai Golongan Karya;BANTEN III;L;
339;H. ANDI ACHMAD DARA, S.E., M.A.P.;Fraksi Partai Golongan Karya;BANTEN III;L;
340;GDE SUMARJAYA LINGGIH, S.E., M.AP.;Fraksi Partai Golongan Karya;BALI;L;
341;Ir. Hj. SARI YULIATI, M.T.;Fraksi Partai Golongan Karya;NUSA TENGGARA BARAT II;P;
342;MELCHIAS MARKUS MEKENG, M.H.;Fraksi Partai Golongan Karya;NUSA TENGGARA TIMUR I;L;
343;Dr. UMBU KABUNANG RUDI YANTO HUNGA, S.H., M.H.;Fraksi Partai Golongan Karya;NUSA TENGGARA TIMUR II;L;
344;GAVRIEL P. NOVANTO, B.A., M.Sc.;Fraksi Partai Golongan Karya;NUSA TENGGARA TIMUR II;L;
345;FRANCISCUS MARIA AGUSTINUS SIBARANI;Fraksi Partai Golongan Karya;KALIMANTAN BARAT I;L;
346;Dr. Drs. ADRIANUS ASIA SIDOT, M.Si.;Fraksi Partai Golongan Karya;KALIMANTAN BARAT II;L;
347;Drs. MUKHTARUDIN;Fraksi Partai Golongan Karya;KALIMANTAN TENGAH;L;
348;Drs. H. BAMBANG HERI PURNAMA, S.T., S.H., M.H.;Fraksi Partai Golongan Karya;KALIMANTAN SELATAN I;L;
349;SANDI FITRIAN NOOR, S.T., M.M.;Fraksi Partai Golongan Karya;KALIMANTAN SELATAN I;L;
350;Irjen Pol (P) Dr. Drs. RIKWANTO, S.H., M.Hum.;Fraksi Partai Golongan Karya;KALIMANTAN SELATAN II;L;
351;Hj. SARIFAH SURAIDAH;Fraksi Partai Golongan Karya;KALIMANTAN TIMUR;P;
352;Dr. Ir. HETIFAH SJAIFUDIAN, M.P.P.;Fraksi Partai Golongan Karya;KALIMANTAN TIMUR;P;
353;DR.(HC) CHRISTIANY EUGENIA PARUNTU, S.E.,S.Th.,M.A.;Fraksi Partai Golongan Karya;SULAWESI UTARA;P;
354;H. MUHIDIN MOHAMAD SAID, S.E., M.B.A.;Fraksi Partai Golongan Karya;SULAWESI TENGAH;L;
355;Ir. BENIYANTO, S.T.;Fraksi Partai Golongan Karya;SULAWESI TENGAH;L;
356;DRS. HAMKA B. KADY, M.S.;Fraksi Partai Golongan Karya;SULAWESI SELATAN I;L;
357;Prof. Dr. Drs. H.A.M. NURDIN HALID;Fraksi Partai Golongan Karya;SULAWESI SELATAN II;L;
358;Dr. H.M. TAUFAN PAWE, S.H., M.H.;Fraksi Partai Golongan Karya;SULAWESI SELATAN II;L;
359;AGUSTINA MANGANDE;Fraksi Partai Golongan Karya;SULAWESI SELATAN III;P;
360;Ir. RIDWAN BAE;Fraksi Partai Golongan Karya;SULAWESI TENGGARA;L;
361;Drs. H. RUSLI HABIBIE, M.A.P.;Fraksi Partai Golongan Karya;GORONTALO;L;
362;ALIEN MUS, S.Sos.;Fraksi Partai Golongan Karya;MALUKU UTARA;P;
363;drg. ALFONS MANIBUI;Fraksi Partai Golongan Karya;PAPUA BARAT;L;
364;Dr. SOEDESON TANDRA, S.H., M.Hum.;Fraksi Partai Golongan Karya;PAPUA TENGAH;L;
365;ROBERT JOPPY KARDINAL, S.A.B.;Fraksi Partai Golongan Karya;PAPUA BARAT DAYA;L;
366;H. MUSLIM AYUB, S.H., M.M.;Fraksi Partai NasDem;ACEH I;L;
367;IRSAN SOSIAWAN, M.B.A.;Fraksi Partai NasDem;ACEH II;L;
368;PRANANDA SURYA PALOH;Fraksi Partai NasDem;SUMATERA UTARA I;L;
369;MARTIN  MANURUNG, S.E., M.A.;Fraksi Partai NasDem;SUMATERA UTARA II;L;
370;RUDI HARTONO BANGUN, S.E.;Fraksi Partai NasDem;SUMATERA UTARA III;L;
371;Hj. LISDA HENDRAJONI, S.E., M.M.Tr.;Fraksi Partai NasDem;SUMATERA BARAT I;P;
372;Ir. M. SHADIQ PASADIGOE, S.H., M.M.;Fraksi Partai NasDem;SUMATERA BARAT I;L;
373;CINDY MONICA SALSABILA SETIAWAN, S.M.;Fraksi Partai NasDem;SUMATERA BARAT II;P;
374;Dr. SYARIF FASHA, S.E., M.E.;Fraksi Partai NasDem;JAMBI;L;
375;H.FAUZI AMRO M.SI;Fraksi Partai NasDem;SUMATERA SELATAN I;L;
376;IRMA SURYANI, S.E., M.M.;Fraksi Partai NasDem;SUMATERA SELATAN II;P;
377;ERNA SARI DEWI, S.E.;Fraksi Partai NasDem;BENGKULU;P;
378;RAHMAWATI HERDIAN, S.H., M.Kn.;Fraksi Partai NasDem;LAMPUNG I;P;
379;TAMANURI;Fraksi Partai NasDem;LAMPUNG II;L;
380;RANDI ZULMARIADI, S. M.;Fraksi Partai NasDem;KEPULAUAN RIAU;L;
381;Dr. H. AHMAD SAHRONI, S.E., M.I.Kom.;Fraksi Partai NasDem;DKI JAKARTA III;L;
382;RAJIV;Fraksi Partai NasDem;JAWA BARAT II;L;
383;ANANDA TOHPATI N.R.;Fraksi Partai NasDem;JAWA BARAT III;L;
384;ASEP WAHYUWIJAYA;Fraksi Partai NasDem;JAWA BARAT V;L;
385;SAAN MUSTOPA;Fraksi Partai NasDem;JAWA BARAT VII;L;
386;SATORI, S.PdI., M.M.;Fraksi Partai NasDem;JAWA BARAT VIII;L;
387;UJANG BEY, S.I.P., M.I.P.;Fraksi Partai NasDem;JAWA BARAT IX;L;
388;Dr. SHOHIBUL IMAM, CA., CPA.;Fraksi Partai NasDem;JAWA BARAT X;L;
389;LOLA NELRIA OKTAVIA, S.E.;Fraksi Partai NasDem;JAWA BARAT XI;P;
390;Drs. FADHOLI, M.I.Kom.;Fraksi Partai NasDem;JAWA TENGAH I;L;
391;LESTARI MOERDIJAT;Fraksi Partai NasDem;JAWA TENGAH II;P;
392;Hj. SRI WULAN, S.E., M.M.;Fraksi Partai NasDem;JAWA TENGAH III;P;
393;NAFA URBACH;Fraksi Partai NasDem;JAWA TENGAH VI;P;
394;AMELIA ANGGRAINI;Fraksi Partai NasDem;JAWA TENGAH VII;P;
395;SUGENG SUPARWOTO;Fraksi Partai NasDem;JAWA TENGAH VIII;L;
396;YOYOK RIYO SUDIBYO;Fraksi Partai NasDem;JAWA TENGAH X;L;
397;H. SUBARDI, S.H., M.H.;Fraksi Partai NasDem;DAERAH ISTIMEWA YOGYAKARTA;L;
398;LITA MACHFUD ARIFIN;Fraksi Partai NasDem;JAWA TIMUR I;P;
399;Hj. DINI RAHMANIA, S.IAN, M.M.;Fraksi Partai NasDem;JAWA TIMUR II;P;
400;H. CHARLES MEIKYANSAH, S.Sos., M.I.Kom.;Fraksi Partai NasDem;JAWA TIMUR IV;L;
401;NURHADI, S.Pd., M.H.;Fraksi Partai NasDem;JAWA TIMUR VI;L;
402;MUHAMMAD HABIBUR ROCHMAN, S.E.;Fraksi Partai NasDem;JAWA TIMUR VIII;L;
403;THORIQ MAJIDDANOR, S.E., S.H., M.HP.;Fraksi Partai NasDem;JAWA TIMUR X;L;
404;WILLY ADITYA;Fraksi Partai NasDem;JAWA TIMUR XI;L;
405;ARIF RAHMAN;Fraksi Partai NasDem;BANTEN I;L;
406;Prof. Dr. H. FURTASAN ALI YUSUF, S.E., S.Kom., M.M.;Fraksi Partai NasDem;BANTEN II;L;
407;Dr. H. WAHIDIN HALIM, M.Si.;Fraksi Partai NasDem;BANTEN III;L;
408;Ir. I NENGAH SENANTARA;Fraksi Partai NasDem;BALI;L;
409;H. MORI HANAFI, S.E.,MCom;Fraksi Partai NasDem;NUSA TENGGARA BARAT I;L;
410;FAUZAN KHALID, S.Ag., M.Si.;Fraksi Partai NasDem;NUSA TENGGARA BARAT II;L;
411;JULIE SUTRISNO LAISKODAT;Fraksi Partai NasDem;NUSA TENGGARA TIMUR I;P;
412;Dr. VIKTOR BUNGTILU LAISKODAT, S.H., M.Si.;Fraksi Partai NasDem;NUSA TENGGARA TIMUR II;L;
413;H. SYARIEF ABDULLAH ALKADRIE, S.H.;Fraksi Partai NasDem;KALIMANTAN BARAT I;L;
414;GULAM MOHAMAD SHARON;Fraksi Partai NasDem;KALIMANTAN BARAT II;L;
415;ANDINA THRESIA NARANG, B.Comm.;Fraksi Partai NasDem;KALIMANTAN TENGAH;P;
416;Dr. H.M. RIFQINIZAMY KARSAYUDA, S.H., M.H.;Fraksi Partai NasDem;KALIMANTAN SELATAN I;L;
417;H. MACHFUD ARIFIN;Fraksi Partai NasDem;KALIMANTAN SELATAN II;L;
418;NABIL HUSIEN SAID AMIN ALRASYDI;Fraksi Partai NasDem;KALIMANTAN TIMUR;L;
419;FELLY ESTELITA RUNTUWENE, S.E.;Fraksi Partai NasDem;SULAWESI UTARA;P;
420;Dr. Hj. NILAM SARI LAWIRA, S.P., M.P.;Fraksi Partai NasDem;SULAWESI TENGAH;P;
421;H. ACHMAD DG SERE, S.Sos., M.A.P.;Fraksi Partai NasDem;SULAWESI SELATAN I;L;
422;RUDIANTO LALLO, S.H., M.H.;Fraksi Partai NasDem;SULAWESI SELATAN I;L;
423;TEGUH ISWARA SUARDI,S.T.,MSC;Fraksi Partai NasDem;SULAWESI SELATAN II;L;
424;H. RUSDI MASSE MAPPASESSU;Fraksi Partai NasDem;SULAWESI SELATAN III;L;
425;EVA STEVANY RATABA, S.H.;Fraksi Partai NasDem;SULAWESI SELATAN III;P;
426;H. ALI MAZI, S.H.;Fraksi Partai NasDem;SULAWESI TENGGARA;L;
427;RACHMAT GOBEL;Fraksi Partai NasDem;GORONTALO;L;
428;RATIH MEGASARI SINGKARRU, M.Sc.;Fraksi Partai NasDem;SULAWESI BARAT;P;
429;TONNY TESAR, S.Sos.;Fraksi Partai NasDem;PAPUA;L;
430;CHEROLINE CHRISYE MAKALEW;Fraksi Partai NasDem;PAPUA BARAT;P;
431;H. SULAEMAN L. HAMZAH;Fraksi Partai NasDem;PAPUA SELATAN;L;
432;ARJUNA SAKIR, S.E., M.M.;Fraksi Partai NasDem;PAPUA TENGAH;L;
433;ROBERTH ROUW;Fraksi Partai NasDem;PAPUA PEGUNUNGAN;L;
434;Dr. RICO SIA, M.Si.;Fraksi Partai NasDem;PAPUA BARAT DAYA;L;
435;GHUFRAN;Fraksi Partai Keadilan Sejahtera;ACEH I;L;
436;Dr. H.M. NASIR DJAMIL, M.Si.;Fraksi Partai Keadilan Sejahtera;ACEH II;L;
437;Ir. H. TIFATUL SEMBIRING;Fraksi Partai Keadilan Sejahtera;SUMATERA UTARA I;L;
438;H. ANSORY SIREGAR;Fraksi Partai Keadilan Sejahtera;SUMATERA UTARA III;L;
439;H. RAHMAT SALEH, S.Farm.;Fraksi Partai Keadilan Sejahtera;SUMATERA BARAT I;L;
440;NEVI ZUAIRINA;Fraksi Partai Keadilan Sejahtera;SUMATERA BARAT II;P;
441;H. HENDRY MUNIEF, M.B.A.;Fraksi Partai Keadilan Sejahtera;RIAU I;L;
442;Dr. SYAHRUL AIDI MAAZAT, L.c., M.A.;Fraksi Partai Keadilan Sejahtera;RIAU II;L;
443;Drs. H. MOHD. IQBAL ROMZI;Fraksi Partai Keadilan Sejahtera;SUMATERA SELATAN I;L;
444;H. ASKWENI, S.Pd.;Fraksi Partai Keadilan Sejahtera;SUMATERA SELATAN II;L;
445;Dr. AL MUZZAMMIL YUSUF, M.Si.;Fraksi Partai Keadilan Sejahtera;LAMPUNG I;L;
446;Dr. Ir. H.A. JUNAIDI AULY, M.M.;Fraksi Partai Keadilan Sejahtera;LAMPUNG II;L;
447;Dr. H. MARDANI ALI SERA, M.Eng.;Fraksi Partai Keadilan Sejahtera;DKI JAKARTA I;L;
448;Dr. Hj. ANIS BYARWATI;Fraksi Partai Keadilan Sejahtera;DKI JAKARTA I;P;
449;Dr. H. M. HIDAYAT NUR WAHID, M.A.;Fraksi Partai Keadilan Sejahtera;DKI JAKARTA II;L;
450;Dr. Hj. KURNIASIH MUFIDAYATI, M.Si.;Fraksi Partai Keadilan Sejahtera;DKI JAKARTA II;P;
451;Drs. H. ADANG DARADJATUN;Fraksi Partai Keadilan Sejahtera;DKI JAKARTA III;L;
452;Hj. LEDIA HANIFA A., S.Si., M.Psi.T.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT I;P;
453;Dr. H. AHMAD HERYAWAN, Lc., M.Si.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT II;L;
454;H. ECKY AWAL MUCHARAM;Fraksi Partai Keadilan Sejahtera;JAWA BARAT III;L;
455;drh. SLAMET;Fraksi Partai Keadilan Sejahtera;JAWA BARAT IV;L;
456;drh. H. ACHMAD RU'YAT, M.Si.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT V;L;
457;MAHFUDZ ABDURRAHMAN, S.Sos.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT VI;L;
458;H. MUHAMMAD KHOLID, S.E., M.Si.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT VI;L;
459;H. JALAL ABDUL NASIR, Ak.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT VII;L;
460;Dr. Hj. NETTY PRASETIYANI, M.Si.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT VIII;P;
461;Ir. H. ATENG SUTISNA;Fraksi Partai Keadilan Sejahtera;JAWA BARAT IX;L;
462;Dr. K.H. SURAHMAN HIDAYAT, Lc., M.A.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT X;L;
463;H. MOHAMAD SOHIBUL IMAN, M.Sc., Ph.D.;Fraksi Partai Keadilan Sejahtera;JAWA BARAT XI;L;
464;Dr. H. MUH. HARIS, S.S., M.Si.;Fraksi Partai Keadilan Sejahtera;JAWA TENGAH I;L;
465;Drs. H. HAMID NOOR YASIN, M.M.;Fraksi Partai Keadilan Sejahtera;JAWA TENGAH IV;L;
466;Dr. H. ABDUL KHARIS ALMASYHARI, S.E., M.Si.;Fraksi Partai Keadilan Sejahtera;JAWA TENGAH V;L;
467;ROFIK HANANTO, S.E.;Fraksi Partai Keadilan Sejahtera;JAWA TENGAH VII;L;
468;H. YANUAR ARIF WIBOWO, S.H.;Fraksi Partai Keadilan Sejahtera;JAWA TENGAH VIII;L;
469;Dr. H. ABDUL FIKRI FAQIH, M.M.;Fraksi Partai Keadilan Sejahtera;JAWA TENGAH IX;L;
470;RIZAL BAWAZIER;Fraksi Partai Keadilan Sejahtera;JAWA TENGAH X;L;
471;Dr. H. SUKAMTA;Fraksi Partai Keadilan Sejahtera;DAERAH ISTIMEWA YOGYAKARTA;L;
472;RENI ASTUTI, S.Si., M.PSDM.;Fraksi Partai Keadilan Sejahtera;JAWA TIMUR I;P;
473;AMIN, Ak., M.M.;Fraksi Partai Keadilan Sejahtera;JAWA TIMUR IV;L;
